INFO   | jvm 1    | 2017/02/17 12:29:08 | 2017-02-17 12:29:08 PdsMover 1 PDS construction records found
INFO   | jvm 1    | 2017/02/17 12:29:08 | 2017-02-17 12:29:08 PdsPassCreate: processing started.
INFO   | jvm 1    | 2017/02/17 12:29:08 | 2017-02-17 12:29:08 PdsPassCreate: pass already exists in database: <<TERRA>> AOS: Mon Feb 13 20:55:00 EST 2017  LOS: Mon Feb 13 20:59:59 EST 2017
INFO   | jvm 1    | 2017/02/17 12:29:08 | 2017-02-17 12:29:08 PdsMover Calling Sliver processing
INFO   | jvm 1    | 2017/02/17 12:29:08 | 2017-02-17 12:29:08 PdsPassCreate: replaced original pass list: passes <1>
INFO   | jvm 1    | 2017/02/17 12:29:08 | 2017-02-17 12:29:08 PdsPassCreate: with new pass list: passes <1>
INFO   | jvm 1    | 2017/02/17 12:29:08 | 2017-02-17 12:29:08 PdsMover Sliver processing End
INFO   | jvm 1    | 2017/02/17 12:29:08 | 2017-02-17 12:29:08 PdsMover Pass Creation Phase Over
INFO   | jvm 1    | 2017/02/17 12:29:08 | 2017-02-17 12:29:08 PdsMover re-listing PDS construction records
INFO   | jvm 1    | 2017/02/17 12:29:08 | 2017-02-17 12:29:08 PdsMover 1 PDS construction records re-found
INFO   | jvm 1    | 2017/02/17 12:29:08 | 2017-02-17 12:29:08 PdsMover attempting to transfer files to IS
INFO   | jvm 1    | 2017/02/17 12:29:08 | 2017-02-17 12:29:08 Send to IS Product  drl.terra.modis.pds 2017-02-13 20:55:00 2017-02-13 20:59:59
INFO   | jvm 1    | 2017/02/17 12:29:10 | 2017-02-17 12:29:10 PdsMover transfer completed
INFO   | jvm 1    | 2017/02/17 12:29:10 | 2017-02-17 12:29:10 PdsMover processing ending
INFO   | jvm 1    | 2017/02/17 12:29:40 | 2017-02-17 12:29:40 PdsMover Processing Started
INFO   | jvm 1    | 2017/02/17 12:29:40 | 2017-02-17 12:29:40 PdsMover 1 PDS construction records found
INFO   | jvm 1    | 2017/02/17 12:29:40 | 2017-02-17 12:29:40 PdsPassCreate: processing started.
INFO   | jvm 1    | 2017/02/17 12:29:40 | 2017-02-17 12:29:40 PdsPassCreate: pass already exists in database: <<TERRA>> AOS: Mon Feb 13 21:00:00 EST 2017  LOS: Mon Feb 13 21:04:59 EST 2017
INFO   | jvm 1    | 2017/02/17 12:29:40 | 2017-02-17 12:29:40 PdsMover Calling Sliver processing
INFO   | jvm 1    | 2017/02/17 12:29:40 | 2017-02-17 12:29:40 PdsPassCreate: replaced original pass list: passes <1>
INFO   | jvm 1    | 2017/02/17 12:29:40 | 2017-02-17 12:29:40 PdsPassCreate: with new pass list: passes <1>
INFO   | jvm 1    | 2017/02/17 12:29:40 | 2017-02-17 12:29:40 PdsMover Sliver processing End
INFO   | jvm 1    | 2017/02/17 12:29:40 | 2017-02-17 12:29:40 PdsMover Pass Creation Phase Over
INFO   | jvm 1    | 2017/02/17 12:29:40 | 2017-02-17 12:29:40 PdsMover re-listing PDS construction records
INFO   | jvm 1    | 2017/02/17 12:29:40 | 2017-02-17 12:29:40 PdsMover 1 PDS construction records re-found
INFO   | jvm 1    | 2017/02/17 12:29:40 | 2017-02-17 12:29:40 PdsMover attempting to transfer files to IS
INFO   | jvm 1    | 2017/02/17 12:29:40 | 2017-02-17 12:29:40 Send to IS Product  drl.terra.modis.pds 2017-02-13 21:00:00 2017-02-13 21:04:59
INFO   | jvm 1    | 2017/02/17 12:29:42 | 2017-02-17 12:29:42 PdsMover transfer completed
INFO   | jvm 1    | 2017/02/17 12:29:42 | 2017-02-17 12:29:42 PdsMover processing ending
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 PdsMover Processing Started
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 PdsMover 2 PDS construction records found
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 PdsPassCreate: processing started.
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 PdsMover Calling Sliver processing
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 PdsPassCreate: replaced original pass list: passes <2>
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 PdsPassCreate: with new pass list: passes <2>
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 PdsMover Sliver processing End
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 PdsPassCreate: New pass -- <<TERRA>> AOS: Mon Feb 13 21:05:00 EST 2017  LOS: Mon Feb 13 21:09:59 EST 2017
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 PdsPassCreate: New pass -- <<TERRA>> AOS: Mon Feb 13 22:35:00 EST 2017  LOS: Mon Feb 13 22:39:59 EST 2017
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 PdsMover Pass Creation Phase Over
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 PdsMover re-listing PDS construction records
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 PdsMover 2 PDS construction records re-found
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 PdsMover attempting to transfer files to IS
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 Send to IS Product  drl.terra.modis.pds 2017-02-13 21:05:00 2017-02-13 21:09:59
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 Send to IS Product  drl.terra.modis.pds 2017-02-13 22:35:00 2017-02-13 22:39:59
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 PdsMover transfer completed
INFO   | jvm 1    | 2017/02/17 12:30:12 | 2017-02-17 12:30:12 PdsMover processing ending
INFO   | jvm 1    | 2017/02/17 12:30:42 | 2017-02-17 12:30:42 PdsMover Processing Started
INFO   | jvm 1    | 2017/02/17 12:30:42 | 2017-02-17 12:30:42 PdsMover 1 PDS construction records found
INFO   | jvm 1    | 2017/02/17 12:30:42 | 2017-02-17 12:30:42 PdsPassCreate: processing started.
INFO   | jvm 1    | 2017/02/17 12:30:42 | 2017-02-17 12:30:42 PdsMover Calling Sliver processing
INFO   | jvm 1    | 2017/02/17 12:30:42 | 2017-02-17 12:30:42 PdsPassCreate: replaced original pass list: passes <1>
INFO   | jvm 1    | 2017/02/17 12:30:42 | 2017-02-17 12:30:42 PdsPassCreate: with new pass list: passes <1>
INFO   | jvm 1    | 2017/02/17 12:30:42 | 2017-02-17 12:30:42 PdsMover Sliver processing End
INFO   | jvm 1    | 2017/02/17 12:30:45 | 2017-02-17 12:30:44 PdsPassCreate: New pass -- <<TERRA>> AOS: Mon Feb 13 22:40:00 EST 2017  LOS: Mon Feb 13 22:44:59 EST 2017
INFO   | jvm 1    | 2017/02/17 12:30:45 | 2017-02-17 12:30:44 PdsMover Pass Creation Phase Over
INFO   | jvm 1    | 2017/02/17 12:30:45 | 2017-02-17 12:30:44 PdsMover re-listing PDS construction records
INFO   | jvm 1    | 2017/02/17 12:30:45 | 2017-02-17 12:30:44 PdsMover 1 PDS construction records re-found
INFO   | jvm 1    | 2017/02/17 12:30:45 | 2017-02-17 12:30:44 PdsMover attempting to transfer files to IS
INFO   | jvm 1    | 2017/02/17 12:30:45 | 2017-02-17 12:30:44 Send to IS Product  drl.terra.modis.pds 2017-02-13 22:40:00 2017-02-13 22:44:59
INFO   | jvm 1    | 2017/02/17 12:30:47 | 2017-02-17 12:30:47 PdsMover transfer completed
INFO   | jvm 1    | 2017/02/17 12:30:47 | 2017-02-17 12:30:47 PdsMover processing ending
INFO   | jvm 1    | 2017/02/17 12:31:17 | 2017-02-17 12:31:17 PdsMover Processing Started
INFO   | jvm 1    | 2017/02/17 12:31:17 | 2017-02-17 12:31:17 PdsMover 2 PDS construction records found
INFO   | jvm 1    | 2017/02/17 12:31:17 | 2017-02-17 12:31:17 PdsPassCreate: processing started.
INFO   | jvm 1    | 2017/02/17 12:31:17 | 2017-02-17 12:31:17 PdsMover Calling Sliver processing
INFO   | jvm 1    | 2017/02/17 12:31:17 | 2017-02-17 12:31:17 PdsPassCreate: replaced original pass list: passes <2>
INFO   | jvm 1    | 2017/02/17 12:31:17 | 2017-02-17 12:31:17 PdsPassCreate: with new pass list: passes <2>
INFO   | jvm 1    | 2017/02/17 12:31:17 | 2017-02-17 12:31:17 PdsMover Sliver processing End
INFO   | jvm 1    | 2017/02/17 12:31:18 | 2017-02-17 12:31:17 PdsPassCreate: New pass -- <<TERRA>> AOS: Mon Feb 13 22:45:00 EST 2017  LOS: Mon Feb 13 22:49:59 EST 2017
INFO   | jvm 1    | 2017/02/17 12:31:18 | 2017-02-17 12:31:17 PdsPassCreate: New pass -- <<TERRA>> AOS: Tue Feb 14 00:15:00 EST 2017  LOS: Tue Feb 14 00:19:59 EST 2017
INFO   | jvm 1    | 2017/02/17 12:31:18 | 2017-02-17 12:31:17 PdsMover Pass Creation Phase Over
INFO   | jvm 1    | 2017/02/17 12:31:18 | 2017-02-17 12:31:17 PdsMover re-listing PDS construction records
INFO   | jvm 1    | 2017/02/17 12:31:18 | 2017-02-17 12:31:17 PdsMover 2 PDS construction records re-found
INFO   | jvm 1    | 2017/02/17 12:31:18 | 2017-02-17 12:31:17 PdsMover attempting to transfer files to IS
INFO   | jvm 1    | 2017/02/17 12:31:18 | 2017-02-17 12:31:18 Send to IS Product  drl.terra.modis.pds 2017-02-14 00:15:00 2017-02-14 00:19:59
