STATUS | wrapper  | 2017/02/20 13:38:45 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/20 13:38:45 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/20 13:38:45 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/20 13:38:45 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/20 13:38:45 | 
STATUS | wrapper  | 2017/02/20 13:38:45 | Launching a JVM...
INFO   | jvm 1    | 2017/02/20 13:38:45 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/20 13:38:46 | 2017-02-20 13:38:46 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/20 13:38:46 | 2017-02-20 13:38:46 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/20 13:43:35 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/20 13:43:35 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/20 13:45:57 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/20 13:45:57 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/20 13:45:57 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/20 13:45:57 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/20 13:45:57 | 
STATUS | wrapper  | 2017/02/20 13:45:58 | Launching a JVM...
INFO   | jvm 1    | 2017/02/20 13:45:58 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/20 13:45:58 | 2017-02-20 13:45:58 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/20 13:45:58 | 2017-02-20 13:45:58 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/20 13:47:24 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/20 13:47:24 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/20 13:49:16 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/20 13:49:16 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/20 13:49:16 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/20 13:49:16 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/20 13:49:16 | 
STATUS | wrapper  | 2017/02/20 13:49:16 | Launching a JVM...
INFO   | jvm 1    | 2017/02/20 13:49:16 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/20 13:49:16 | 2017-02-20 13:49:16 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/20 13:49:16 | 2017-02-20 13:49:16 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/20 13:50:47 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/20 13:50:48 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/20 13:51:53 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/20 13:51:53 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/20 13:51:53 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/20 13:51:53 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/20 13:51:53 | 
STATUS | wrapper  | 2017/02/20 13:51:53 | Launching a JVM...
INFO   | jvm 1    | 2017/02/20 13:51:54 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/20 13:51:54 | 2017-02-20 13:51:54 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/20 13:51:54 | 2017-02-20 13:51:54 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/20 13:57:42 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/20 13:57:43 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/20 14:00:40 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/20 14:00:40 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/20 14:00:40 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/20 14:00:40 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/20 14:00:40 | 
STATUS | wrapper  | 2017/02/20 14:00:40 | Launching a JVM...
INFO   | jvm 1    | 2017/02/20 14:00:40 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/20 14:00:41 | 2017-02-20 14:00:40 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/20 14:00:41 | 2017-02-20 14:00:41 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/20 14:13:57 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/20 14:13:57 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/20 14:18:52 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/20 14:18:52 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/20 14:18:52 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/20 14:18:52 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/20 14:18:52 | 
STATUS | wrapper  | 2017/02/20 14:18:52 | Launching a JVM...
INFO   | jvm 1    | 2017/02/20 14:18:53 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/20 14:18:53 | 2017-02-20 14:18:53 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/20 14:18:53 | 2017-02-20 14:18:53 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/21 08:48:13 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/21 08:48:14 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/21 08:48:15 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/21 08:48:15 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/21 08:48:15 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/21 08:48:15 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/21 08:48:15 | 
STATUS | wrapper  | 2017/02/21 08:48:15 | Launching a JVM...
INFO   | jvm 1    | 2017/02/21 08:48:15 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/21 08:48:15 | 2017-02-21 08:48:15 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/21 08:48:15 | 2017-02-21 08:48:15 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/21 08:50:35 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/21 08:50:36 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/21 08:55:07 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/21 08:55:07 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/21 08:55:07 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/21 08:55:07 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/21 08:55:07 | 
STATUS | wrapper  | 2017/02/21 08:55:07 | Launching a JVM...
INFO   | jvm 1    | 2017/02/21 08:55:07 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/21 08:55:08 | 2017-02-21 08:55:08 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/21 08:55:08 | 2017-02-21 08:55:08 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/21 09:44:20 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/21 09:44:20 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/21 09:44:21 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/21 09:44:21 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/21 09:44:21 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/21 09:44:21 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/21 09:44:21 | 
STATUS | wrapper  | 2017/02/21 09:44:21 | Launching a JVM...
INFO   | jvm 1    | 2017/02/21 09:44:21 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/21 09:44:22 | 2017-02-21 09:44:21 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/21 09:44:22 | 2017-02-21 09:44:21 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/21 09:47:27 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/21 09:47:28 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/21 09:54:37 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/21 09:54:37 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/21 09:54:37 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/21 09:54:37 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/21 09:54:37 | 
STATUS | wrapper  | 2017/02/21 09:54:37 | Launching a JVM...
INFO   | jvm 1    | 2017/02/21 09:54:37 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/21 09:54:38 | 2017-02-21 09:54:38 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/21 09:54:38 | 2017-02-21 09:54:38 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/21 10:13:30 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/21 10:13:31 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/21 10:15:34 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/21 10:15:34 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/21 10:15:34 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/21 10:15:34 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/21 10:15:34 | 
STATUS | wrapper  | 2017/02/21 10:15:34 | Launching a JVM...
INFO   | jvm 1    | 2017/02/21 10:15:34 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/21 10:15:35 | 2017-02-21 10:15:35 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/21 10:15:35 | 2017-02-21 10:15:35 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/21 10:17:03 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/21 10:17:04 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/21 10:18:46 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/21 10:18:46 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/21 10:18:46 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/21 10:18:46 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/21 10:18:46 | 
STATUS | wrapper  | 2017/02/21 10:18:46 | Launching a JVM...
INFO   | jvm 1    | 2017/02/21 10:18:46 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/21 10:18:47 | 2017-02-21 10:18:46 RDRMover ready -- version v1.0
INFO   | jvm 1    | 2017/02/21 10:18:47 | 2017-02-21 10:18:46 RDRMover starting in multi-granule mode
STATUS | wrapper  | 2017/02/21 10:21:06 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/21 10:21:07 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/21 10:26:37 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/21 10:26:37 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/21 10:26:37 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
