INFO   | jvm 1    | 2017/02/17 12:07:10 | 2017-02-17 12:07:10 Validator ending run
STATUS | wrapper  | 2017/02/17 12:08:45 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 12:08:46 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 12:10:03 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 12:10:03 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 12:10:03 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 12:10:03 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 12:10:03 | 
STATUS | wrapper  | 2017/02/17 12:10:03 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 12:10:04 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 12:10:04 | 2017-02-17 12:10:04 ValidateDB ready
INFO   | jvm 1    | 2017/02/17 12:10:04 | 2017-02-17 12:10:04 Validator starting run
INFO   | jvm 1    | 2017/02/17 12:10:04 | 2017-02-17 12:10:04 0 Products checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 12:10:04 | 2017-02-17 12:10:04 0 StaticAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 12:10:04 | 2017-02-17 12:10:04 177 TimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 12:10:04 | 2017-02-17 12:10:04 34 SatTimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 12:10:04 | 2017-02-17 12:10:04 Validator ending run
STATUS | wrapper  | 2017/02/17 12:57:44 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 12:57:45 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 13:36:16 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 13:36:16 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 13:36:16 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 13:36:16 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 13:36:16 | 
STATUS | wrapper  | 2017/02/17 13:36:16 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 13:36:17 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 13:36:17 | 2017-02-17 13:36:17 ValidateDB ready
INFO   | jvm 1    | 2017/02/17 13:36:17 | 2017-02-17 13:36:17 Validator starting run
INFO   | jvm 1    | 2017/02/17 13:36:17 | 2017-02-17 13:36:17 46 Products checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 13:36:17 | 2017-02-17 13:36:17 0 StaticAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 13:36:17 | 2017-02-17 13:36:17 231 TimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 13:36:17 | 2017-02-17 13:36:17 35 SatTimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 13:36:17 | 2017-02-17 13:36:17 Validator ending run
STATUS | wrapper  | 2017/02/17 15:37:04 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 15:37:04 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 15:38:09 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 15:38:09 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 15:38:09 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 15:38:09 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 15:38:09 | 
STATUS | wrapper  | 2017/02/17 15:38:10 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 15:38:10 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 15:38:10 | 2017-02-17 15:38:10 ValidateDB ready
INFO   | jvm 1    | 2017/02/17 15:38:10 | 2017-02-17 15:38:10 Validator starting run
INFO   | jvm 1    | 2017/02/17 15:38:10 | 2017-02-17 15:38:10 590 Products checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 15:38:10 | 2017-02-17 15:38:10 0 StaticAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 15:38:10 | 2017-02-17 15:38:10 248 TimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 15:38:10 | 2017-02-17 15:38:10 41 SatTimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 15:38:10 | 2017-02-17 15:38:10 Validator ending run
STATUS | wrapper  | 2017/02/17 15:47:39 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 15:47:40 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/17 15:50:21 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/17 15:50:21 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/17 15:50:21 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/17 15:50:21 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/17 15:50:21 | 
STATUS | wrapper  | 2017/02/17 15:50:21 | Launching a JVM...
INFO   | jvm 1    | 2017/02/17 15:50:22 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/17 15:50:22 | 2017-02-17 15:50:22 ValidateDB ready
INFO   | jvm 1    | 2017/02/17 15:50:22 | 2017-02-17 15:50:22 Validator starting run
INFO   | jvm 1    | 2017/02/17 15:50:22 | 2017-02-17 15:50:22 630 Products checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 15:50:22 | 2017-02-17 15:50:22 0 StaticAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 15:50:22 | 2017-02-17 15:50:22 261 TimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 15:50:22 | 2017-02-17 15:50:22 47 SatTimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/17 15:50:22 | 2017-02-17 15:50:22 Validator ending run
STATUS | wrapper  | 2017/02/17 15:50:50 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/17 15:50:51 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/20 08:53:51 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/20 08:53:51 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/20 08:53:51 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/20 08:53:51 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/20 08:53:51 | 
STATUS | wrapper  | 2017/02/20 08:53:51 | Launching a JVM...
INFO   | jvm 1    | 2017/02/20 08:53:52 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/20 08:53:52 | 2017-02-20 08:53:52 ValidateDB ready
INFO   | jvm 1    | 2017/02/20 08:53:52 | 2017-02-20 08:53:52 Validator starting run
INFO   | jvm 1    | 2017/02/20 08:53:52 | 2017-02-20 08:53:52 646 Products checked, 0 missing files
INFO   | jvm 1    | 2017/02/20 08:53:52 | 2017-02-20 08:53:52 0 StaticAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/20 08:53:52 | 2017-02-20 08:53:52 241 TimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/20 08:53:52 | 2017-02-20 08:53:52 47 SatTimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/20 08:53:52 | 2017-02-20 08:53:52 Validator ending run
STATUS | wrapper  | 2017/02/20 09:50:31 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/20 09:50:32 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/20 09:57:28 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/20 09:57:28 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/20 09:57:28 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/20 09:57:28 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/20 09:57:28 | 
STATUS | wrapper  | 2017/02/20 09:57:28 | Launching a JVM...
INFO   | jvm 1    | 2017/02/20 09:57:29 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/20 09:57:29 | 2017-02-20 09:57:29 ValidateDB ready
INFO   | jvm 1    | 2017/02/20 09:57:29 | 2017-02-20 09:57:29 Validator starting run
INFO   | jvm 1    | 2017/02/20 09:57:29 | 2017-02-20 09:57:29 988 Products checked, 0 missing files
INFO   | jvm 1    | 2017/02/20 09:57:29 | 2017-02-20 09:57:29 0 StaticAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/20 09:57:29 | 2017-02-20 09:57:29 323 TimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/20 09:57:29 | 2017-02-20 09:57:29 53 SatTimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/20 09:57:29 | 2017-02-20 09:57:29 Validator ending run
STATUS | wrapper  | 2017/02/20 12:38:28 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/20 12:38:29 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/20 13:18:10 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/20 13:18:10 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/20 13:18:10 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/20 13:18:10 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/20 13:18:10 | 
STATUS | wrapper  | 2017/02/20 13:18:10 | Launching a JVM...
INFO   | jvm 1    | 2017/02/20 13:18:10 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/02/20 13:18:10 | 2017-02-20 13:18:10 ValidateDB ready
INFO   | jvm 1    | 2017/02/20 13:18:10 | 2017-02-20 13:18:10 Validator starting run
INFO   | jvm 1    | 2017/02/20 13:18:11 | 2017-02-20 13:18:11 560 Products checked, 0 missing files
INFO   | jvm 1    | 2017/02/20 13:18:11 | 2017-02-20 13:18:11 0 StaticAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/20 13:18:11 | 2017-02-20 13:18:11 349 TimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/20 13:18:11 | 2017-02-20 13:18:11 65 SatTimeAncillaries checked, 0 missing files
INFO   | jvm 1    | 2017/02/20 13:18:11 | 2017-02-20 13:18:11 Validator ending run
STATUS | wrapper  | 2017/02/20 13:38:35 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2017/02/20 13:38:35 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/02/20 13:38:36 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/20 13:38:36 | Java Service Wrapper Community Edition 64-bit 3.5.24
STATUS | wrapper  | 2017/02/20 13:38:36 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/20 13:38:36 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/20 13:38:36 | 
